city,n_obs,n_segments,ICC_null,ICC_pct,var_between,var_within,R2_temporal,R2_temporal_pct,R2_spatial_incremental,R2_spatial_pct,var_segment_after_time,var_segment_after_full,beta_betweenness,p_betweenness,beta_free_flow,p_free_flow
Semarang,6845,922,0.9306,93.1%,9.1,0.68,0.636,63.6%,0.649,64.90%,8.81,3.09,-1569.6628,0.0007480373210255457,0.7466,0.0
Bandung,18604,2583,0.9161,91.6%,6.24,0.57,0.5962,59.6%,0.5732,57.32%,5.95,2.54,-3971.7062,6.345531196961692e-15,0.5928,0.0
Jakarta,95935,13193,0.9236,92.4%,7.15,0.59,0.511,51.1%,0.5472,54.72%,6.91,3.13,-13304.5869,4.137049998841835e-13,0.5333,0.0
