,NS,HH,LL,LH,HL
NS,0.6555132296921652,0.09533614743127768,0.19777617625862248,0.04056419231957171,0.010810254298363018
HH,0.6278248587570622,0.10451977401129943,0.21257062146892655,0.043785310734463276,0.011299435028248588
LL,0.5890795631825273,0.09578783151326054,0.2620904836193448,0.039937597503900156,0.013104524180967239
LH,0.6006339144215531,0.1045958795562599,0.21077654516640254,0.0729001584786054,0.011093502377179081
HL,0.5617283950617283,0.09876543209876543,0.2962962962962963,0.030864197530864196,0.012345679012345678
