,NS,HH,LL,LH,HL
NS,0.6681866952789699,0.07698497854077253,0.20681330472103004,0.039967811158798286,0.008047210300429184
HH,0.5772532188841202,0.17167381974248927,0.20386266094420602,0.0407725321888412,0.006437768240343348
LL,0.6047058823529412,0.07137254901960784,0.2807843137254902,0.03294117647058823,0.010196078431372548
LH,0.6610169491525424,0.08050847457627118,0.1906779661016949,0.0635593220338983,0.00423728813559322
HL,0.6122448979591836,0.061224489795918366,0.26530612244897955,0.02040816326530612,0.04081632653061224
