city,city_name,p_HH_HH,p_NS_HH,p_HH_NS,ss_NS,ss_HH,ss_LL,ss_LH,ss_HL,spatial_chi2,spatial_pvalue
jkt,Jakarta,0.10113574905354246,0.09645473190741284,0.6568415359653867,0.6411454904594699,0.09728625496907425,0.20269422781101243,0.04566378051980033,0.013210246240643075,"[(np.float64(1.234188280477118), np.float64(0.8724383012839345), np.int64(4)), (np.float64(7.395850811268892), np.float64(0.11639049589302508), np.int64(4)), (np.float64(1.5613853867166627), np.float64(0.8157149988157298), np.int64(4)), (np.float64(6.911800262666842), np.float64(0.14062323726057735), np.int64(4))]",
bdg,Bandung,0.10451977401129943,0.09533614743127768,0.6278248587570622,0.6352007755926655,0.09674945396645374,0.2146816061365811,0.041988678938416464,0.011379485365883131,"[(np.float64(8.683626921243832), np.float64(0.0695125292324612), np.int64(4)), (np.float64(12.909469316969425), np.float64(0.011726719730142832), np.int64(4)), (np.float64(6.8718583823513555), np.float64(0.14281687209520655), np.int64(4)), (np.float64(5.519101856874554), np.float64(0.23805550645705276), np.int64(4))]",
smg,Semarang,0.17167381974248927,0.07698497854077253,0.5772532188841202,0.6456700552319017,0.08365937214136072,0.22292168831767378,0.03922750529157341,0.008521379017490449,"[(np.float64(4.865328871694771), np.float64(0.3013967810707968), np.int64(4)), (np.float64(7.475211053977123), np.float64(0.11280736133313318), np.int64(4)), (np.float64(5.213426419641464), np.float64(0.2660911604647307), np.int64(4)), (np.float64(1.9280301520746024), np.float64(0.7489940870581948), np.int64(4))]",
