,NS,HH,LL,LH,HL
NS,0.6412149623986718,0.09645473190741284,0.20209004785623597,0.04689911124133216,0.0133411465963473
HH,0.6568415359653867,0.10113574905354246,0.18510005408328828,0.045835586803677664,0.011087074094104922
LL,0.6301558490329848,0.09920510734180384,0.21512173749765287,0.04181010202165613,0.013707204105902234
LH,0.6524979298923544,0.09329285122826388,0.19182997515870825,0.04719845431962462,0.015180789401048854
HL,0.6515609264853978,0.09365558912386707,0.2084592145015106,0.038267875125881166,0.008056394763343404
