,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
119,LL,HL,HL,NS,NS,NS,LL,NS
120,NS,NS,HL,NS,NS,NS,NS,NS
121,NS,NS,NS,NS,NS,NS,NS,NS
122,NS,LL,NS,NS,NS,NS,NS,NS
123,HL,HL,HL,NS,NS,NS,NS,NS
124,LH,NS,NS,NS,LH,NS,LH,HH
125,NS,NS,NS,NS,NS,NS,NS,NS
126,NS,NS,NS,NS,NS,NS,NS,NS
127,HH,NS,NS,NS,NS,NS,NS,NS
128,NS,NS,NS,NS,NS,NS,NS,NS
129,NS,LH,NS,NS,NS,NS,NS,NS
130,NS,HL,HL,NS,NS,NS,NS,NS
131,NS,NS,NS,HL,NS,HL,HL,NS
132,NS,NS,NS,NS,NS,NS,NS,NS
133,NS,NS,NS,NS,NS,NS,NS,NS
134,HL,HL,HL,NS,NS,HL,HL,NS
135,NS,NS,NS,HL,NS,NS,NS,NS
136,NS,NS,NS,NS,NS,NS,NS,NS
137,NS,NS,NS,NS,NS,NS,NS,NS
138,NS,NS,NS,NS,NS,NS,NS,NS
139,NS,NS,NS,NS,NS,NS,NS,NS
140,NS,NS,NS,NS,NS,NS,NS,NS
141,NS,NS,NS,NS,NS,NS,NS,NS
142,NS,NS,NS,NS,NS,HL,NS,NS
143,NS,NS,NS,NS,NS,NS,NS,NS
144,NS,NS,NS,NS,NS,NS,NS,NS
145,NS,NS,NS,NS,NS,NS,NS,NS
146,NS,NS,NS,NS,NS,NS,NS,NS
147,NS,NS,NS,NS,NS,NS,NS,HH
148,NS,NS,NS,NS,NS,NS,NS,NS
149,NS,NS,NS,NS,NS,NS,NS,NS
150,NS,NS,NS,NS,NS,NS,NS,NS
151,NS,NS,NS,NS,NS,NS,NS,NS
152,NS,NS,NS,NS,NS,NS,NS,NS
153,HL,NS,NS,NS,NS,NS,NS,HL
154,NS,NS,NS,NS,HH,NS,NS,NS
155,NS,NS,NS,NS,NS,LH,NS,NS
156,NS,NS,NS,NS,NS,NS,NS,NS
157,NS,NS,NS,NS,NS,NS,LH,NS
158,NS,NS,NS,NS,NS,NS,NS,NS
159,NS,NS,NS,NS,NS,NS,NS,NS
160,NS,LL,NS,NS,NS,NS,NS,NS
161,NS,NS,NS,NS,NS,NS,NS,NS
162,NS,NS,NS,NS,NS,NS,NS,NS
163,NS,NS,NS,NS,NS,NS,NS,NS
164,NS,NS,NS,NS,NS,NS,NS,NS
165,NS,NS,HL,NS,NS,NS,NS,NS
166,NS,NS,NS,NS,NS,NS,NS,NS
167,NS,NS,HL,NS,NS,NS,LL,NS
168,NS,NS,NS,NS,NS,NS,NS,NS
169,NS,NS,NS,NS,NS,NS,NS,NS
170,NS,NS,NS,NS,NS,NS,NS,NS
171,NS,NS,NS,NS,NS,NS,NS,NS
172,NS,NS,NS,NS,NS,NS,NS,NS
173,NS,NS,NS,NS,NS,NS,NS,NS
174,NS,NS,NS,NS,NS,NS,NS,NS
175,NS,NS,NS,NS,NS,LL,LL,NS
176,NS,NS,NS,NS,NS,NS,NS,NS
177,NS,NS,NS,NS,NS,NS,NS,NS
178,NS,NS,NS,NS,NS,NS,NS,NS
179,NS,NS,NS,NS,NS,NS,NS,NS
180,NS,NS,NS,NS,NS,NS,NS,NS
181,NS,NS,NS,NS,NS,NS,NS,NS
182,NS,NS,NS,NS,NS,NS,NS,NS
183,NS,NS,NS,NS,NS,NS,NS,NS
184,NS,NS,NS,NS,NS,NS,NS,NS
185,NS,NS,NS,NS,NS,NS,NS,NS
186,NS,NS,NS,NS,NS,NS,NS,NS
187,NS,NS,NS,NS,NS,NS,NS,NS
188,NS,NS,NS,NS,NS,NS,NS,NS
189,NS,LH,NS,LH,NS,NS,NS,NS
190,NS,NS,NS,NS,NS,NS,NS,NS
191,NS,NS,NS,NS,NS,NS,NS,NS
192,NS,LH,NS,NS,NS,NS,NS,NS
193,NS,NS,NS,NS,NS,NS,NS,NS
194,NS,NS,NS,NS,NS,NS,NS,NS
195,NS,NS,NS,NS,NS,NS,NS,NS
196,NS,NS,NS,NS,NS,NS,NS,NS
197,NS,NS,NS,NS,NS,NS,NS,NS
198,NS,NS,NS,NS,NS,NS,NS,NS
199,LL,NS,NS,NS,NS,NS,NS,NS
200,NS,NS,NS,NS,NS,NS,NS,NS
201,NS,NS,NS,NS,NS,NS,NS,NS
202,NS,NS,LH,LH,NS,NS,NS,NS
203,NS,NS,NS,NS,NS,NS,NS,NS
204,NS,NS,NS,NS,NS,HL,NS,NS
205,NS,HL,LL,NS,NS,HL,HL,NS
206,NS,NS,NS,NS,NS,NS,NS,NS
207,NS,NS,NS,NS,NS,NS,NS,NS
208,NS,NS,NS,NS,NS,NS,NS,NS
209,NS,LL,NS,HL,NS,NS,NS,NS
210,NS,NS,NS,NS,LH,NS,NS,NS
211,NS,NS,NS,NS,NS,NS,NS,NS
212,NS,NS,NS,NS,NS,NS,NS,NS
213,NS,NS,NS,NS,NS,NS,NS,NS
214,NS,NS,NS,NS,NS,NS,NS,NS
