,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
119,NS,NS,NS,NS,NS,NS,NS,NS
120,NS,NS,NS,NS,NS,NS,NS,NS
121,LH,NS,NS,NS,NS,NS,NS,NS
122,NS,NS,NS,NS,NS,NS,LL,HL
123,HH,NS,NS,NS,HH,NS,NS,NS
124,NS,NS,NS,LH,NS,NS,NS,NS
125,NS,NS,NS,NS,NS,NS,NS,LH
126,NS,NS,NS,NS,NS,NS,NS,NS
127,NS,NS,NS,NS,NS,NS,NS,NS
128,NS,LL,NS,NS,NS,NS,NS,NS
129,NS,NS,LH,NS,NS,NS,NS,NS
130,NS,LL,NS,NS,NS,NS,NS,NS
131,NS,NS,NS,NS,NS,NS,NS,NS
132,LL,NS,NS,NS,LH,NS,NS,NS
133,NS,NS,NS,NS,NS,NS,NS,LH
134,NS,NS,NS,NS,NS,LL,LL,LL
135,NS,NS,NS,NS,NS,NS,NS,LL
136,NS,NS,NS,NS,NS,NS,NS,NS
137,NS,NS,NS,NS,NS,NS,NS,NS
138,NS,NS,NS,NS,HL,NS,NS,NS
139,NS,NS,LH,NS,NS,NS,NS,NS
140,NS,NS,NS,NS,HL,NS,NS,NS
141,NS,NS,NS,NS,NS,NS,NS,NS
142,LL,NS,NS,NS,NS,NS,NS,NS
143,NS,NS,NS,NS,NS,NS,NS,NS
144,NS,NS,NS,NS,NS,NS,NS,LH
145,NS,NS,NS,NS,NS,NS,NS,NS
146,NS,NS,NS,NS,LL,NS,LL,LL
147,HL,NS,NS,NS,NS,NS,NS,NS
148,NS,HL,NS,NS,HH,NS,NS,NS
149,NS,NS,NS,NS,NS,NS,NS,NS
150,NS,LH,HH,NS,NS,HH,NS,NS
151,NS,NS,NS,NS,NS,NS,NS,NS
152,NS,NS,NS,NS,NS,NS,NS,NS
153,NS,NS,NS,NS,NS,NS,NS,NS
154,NS,NS,NS,NS,NS,NS,NS,NS
155,NS,NS,NS,NS,HL,NS,NS,NS
156,NS,LL,NS,NS,NS,NS,NS,NS
157,NS,NS,NS,NS,NS,NS,LL,NS
158,NS,NS,NS,NS,LL,NS,NS,NS
159,NS,NS,NS,LL,NS,NS,NS,NS
160,HL,NS,NS,NS,NS,NS,NS,NS
161,NS,NS,NS,NS,NS,NS,NS,NS
162,NS,HH,NS,NS,NS,NS,NS,NS
163,LL,NS,NS,NS,NS,NS,NS,NS
164,NS,NS,HH,NS,NS,NS,NS,HL
165,NS,NS,NS,NS,NS,NS,LH,NS
166,NS,NS,NS,NS,NS,NS,NS,NS
167,NS,NS,NS,NS,HH,LH,NS,NS
168,NS,NS,NS,NS,NS,LL,NS,NS
169,NS,NS,NS,NS,NS,NS,NS,NS
170,NS,NS,NS,NS,NS,NS,NS,NS
171,NS,NS,NS,NS,NS,NS,NS,NS
172,NS,NS,NS,NS,NS,NS,NS,NS
173,NS,NS,NS,NS,LL,NS,NS,NS
174,NS,NS,NS,NS,NS,NS,NS,NS
175,NS,NS,NS,NS,LL,NS,NS,NS
176,NS,NS,NS,NS,NS,NS,NS,NS
177,NS,NS,NS,NS,NS,LL,NS,NS
178,LH,NS,NS,NS,NS,NS,NS,NS
179,NS,NS,NS,NS,NS,NS,NS,NS
180,NS,NS,NS,NS,NS,NS,LH,NS
181,NS,NS,NS,NS,NS,NS,NS,NS
182,NS,NS,NS,NS,NS,NS,NS,NS
183,NS,NS,NS,NS,NS,NS,NS,NS
184,NS,NS,NS,NS,NS,NS,NS,NS
185,NS,NS,NS,NS,NS,NS,NS,NS
186,NS,NS,NS,NS,NS,NS,NS,NS
187,NS,NS,NS,NS,NS,NS,NS,NS
188,NS,NS,NS,NS,NS,NS,NS,NS
189,NS,NS,NS,NS,NS,NS,NS,NS
190,NS,NS,NS,NS,NS,NS,NS,NS
191,NS,NS,NS,NS,NS,NS,NS,NS
192,NS,NS,NS,NS,NS,NS,NS,NS
193,NS,LH,NS,NS,NS,LH,LH,NS
194,HH,NS,NS,NS,NS,NS,NS,NS
195,NS,NS,NS,NS,LH,NS,NS,NS
196,NS,NS,NS,NS,NS,NS,NS,NS
197,LL,NS,NS,NS,NS,NS,NS,NS
198,NS,LL,HL,HL,LL,NS,LL,NS
199,NS,NS,NS,NS,NS,NS,HL,NS
200,LL,NS,LL,NS,LL,NS,LL,NS
201,NS,NS,NS,NS,NS,NS,HH,NS
202,LH,NS,NS,NS,NS,NS,NS,NS
203,NS,NS,NS,NS,NS,NS,NS,NS
204,NS,NS,NS,NS,NS,NS,NS,NS
205,NS,NS,NS,NS,NS,HH,NS,NS
206,NS,LL,HL,NS,NS,NS,NS,NS
207,NS,NS,NS,NS,NS,NS,HH,NS
208,NS,NS,NS,NS,NS,NS,NS,NS
209,NS,NS,NS,NS,LL,NS,NS,NS
210,HL,NS,NS,NS,HL,LL,NS,NS
211,NS,NS,NS,NS,NS,NS,NS,NS
212,NS,NS,NS,NS,NS,NS,NS,NS
213,NS,NS,NS,NS,NS,NS,NS,NS
214,NS,NS,NS,LL,HL,NS,NS,NS
215,NS,HL,NS,NS,NS,NS,NS,NS
216,NS,NS,NS,NS,NS,NS,NS,NS
217,NS,NS,NS,NS,NS,NS,NS,NS
218,NS,NS,NS,LL,NS,NS,NS,NS
219,NS,NS,LL,NS,NS,NS,NS,NS
220,NS,NS,LL,NS,NS,NS,NS,NS
221,NS,LL,LL,HL,NS,NS,NS,NS
222,NS,NS,NS,NS,NS,NS,NS,NS
223,NS,NS,NS,NS,NS,NS,NS,HL
224,NS,NS,NS,NS,LL,NS,LL,HH
225,NS,LH,HH,NS,NS,NS,LH,NS
226,NS,NS,NS,NS,NS,NS,NS,NS
227,NS,NS,NS,NS,NS,NS,NS,NS
228,NS,NS,NS,LL,NS,NS,HL,NS
229,NS,NS,NS,NS,NS,NS,NS,NS
230,NS,NS,LH,NS,NS,NS,NS,NS
231,NS,NS,LL,NS,NS,NS,NS,NS
232,NS,NS,NS,NS,NS,NS,NS,NS
233,NS,NS,NS,NS,NS,NS,NS,NS
234,LL,NS,NS,NS,NS,NS,NS,NS
235,NS,NS,NS,NS,NS,NS,NS,NS
236,NS,NS,NS,NS,NS,NS,NS,NS
237,NS,NS,NS,NS,NS,NS,NS,NS
238,NS,NS,NS,NS,NS,NS,NS,NS
239,NS,NS,NS,NS,NS,NS,NS,HL
240,NS,NS,NS,NS,NS,NS,NS,NS
241,NS,NS,NS,NS,NS,NS,NS,NS
242,NS,NS,NS,NS,NS,NS,NS,NS
243,NS,LH,NS,LL,HL,NS,NS,NS
244,NS,NS,NS,NS,LH,NS,LH,NS
245,NS,NS,NS,NS,NS,NS,NS,HH
246,NS,NS,NS,NS,NS,NS,NS,NS
247,NS,NS,LH,NS,NS,NS,NS,NS
248,NS,HH,NS,NS,LH,NS,NS,NS
249,NS,NS,NS,NS,NS,NS,NS,NS
250,NS,NS,LH,NS,NS,NS,NS,NS
251,NS,NS,LH,NS,NS,NS,NS,NS
252,NS,NS,NS,NS,LL,LL,NS,NS
253,NS,NS,NS,NS,NS,NS,NS,NS
254,NS,NS,LH,NS,NS,NS,NS,NS
255,NS,NS,NS,NS,HH,NS,NS,NS
256,LL,NS,NS,NS,NS,NS,NS,NS
257,NS,NS,NS,NS,NS,NS,NS,NS
258,NS,NS,LH,NS,NS,NS,NS,NS
259,NS,NS,NS,NS,NS,NS,NS,NS
260,NS,NS,NS,NS,NS,NS,HH,NS
261,NS,NS,NS,NS,NS,NS,NS,NS
262,NS,NS,NS,NS,NS,NS,NS,NS
263,NS,NS,NS,NS,NS,NS,HL,NS
264,NS,NS,NS,NS,NS,NS,NS,NS
265,NS,NS,NS,NS,NS,NS,NS,NS
266,NS,NS,NS,HL,NS,HH,NS,NS
267,NS,NS,NS,NS,LH,LH,NS,NS
268,NS,NS,NS,NS,NS,HH,NS,NS
269,NS,HL,NS,NS,NS,NS,NS,NS
270,NS,NS,NS,NS,NS,NS,NS,NS
271,NS,LH,NS,NS,LH,NS,LH,HH
272,HH,NS,NS,NS,NS,NS,NS,NS
273,NS,NS,NS,LL,NS,NS,LH,NS
274,NS,NS,NS,NS,NS,NS,NS,NS
275,NS,NS,LH,LH,NS,NS,NS,NS
276,NS,NS,NS,NS,NS,NS,LH,NS
277,NS,NS,NS,NS,NS,NS,NS,NS
278,NS,LH,NS,NS,NS,HL,HH,NS
279,NS,NS,LL,LL,NS,NS,LL,NS
280,NS,NS,NS,NS,NS,NS,NS,NS
281,NS,NS,NS,NS,NS,HH,HL,NS
282,NS,NS,NS,HL,LL,NS,NS,NS
283,NS,NS,NS,LL,NS,NS,NS,NS
284,NS,NS,NS,NS,NS,NS,NS,NS
285,NS,NS,NS,NS,NS,HL,NS,NS
286,HL,NS,NS,NS,NS,NS,LL,NS
287,NS,NS,NS,NS,NS,NS,NS,NS
288,NS,NS,NS,NS,NS,NS,NS,NS
289,NS,NS,NS,NS,NS,NS,NS,NS
290,NS,NS,NS,NS,NS,NS,HH,NS
291,NS,NS,NS,NS,NS,NS,NS,NS
292,NS,NS,NS,NS,NS,NS,NS,NS
293,NS,NS,HH,NS,NS,NS,NS,NS
294,NS,NS,NS,NS,NS,HL,NS,NS
295,NS,NS,NS,NS,NS,NS,NS,NS
296,NS,LH,NS,NS,NS,NS,NS,NS
297,NS,NS,NS,NS,NS,NS,NS,NS
298,NS,NS,NS,NS,NS,NS,NS,NS
299,NS,NS,NS,NS,NS,NS,NS,NS
300,NS,NS,NS,NS,NS,NS,NS,NS
301,NS,NS,NS,NS,NS,NS,NS,NS
302,NS,NS,NS,NS,NS,NS,NS,NS
303,HL,HL,NS,NS,NS,NS,NS,NS
