,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
119,LL,NS,NS,NS,LL,LL,NS,NS
120,LL,NS,LL,NS,LL,HH,NS,NS
121,LL,NS,NS,NS,NS,LL,NS,NS
122,NS,LL,NS,LL,NS,NS,NS,NS
123,NS,HH,NS,NS,NS,LL,NS,NS
124,NS,NS,NS,NS,LL,LL,NS,NS
125,NS,NS,NS,NS,NS,LL,LH,LL
126,NS,NS,NS,NS,NS,NS,NS,NS
127,NS,NS,NS,NS,HH,NS,NS,NS
128,LL,NS,NS,NS,NS,NS,NS,NS
129,NS,NS,HH,NS,NS,LL,NS,NS
130,NS,NS,NS,NS,NS,NS,NS,NS
131,NS,LH,NS,HH,NS,NS,NS,NS
132,NS,LL,NS,NS,NS,NS,NS,LL
133,LH,LL,NS,NS,NS,NS,NS,NS
134,LH,LL,NS,NS,HH,NS,NS,NS
135,NS,NS,NS,NS,NS,NS,NS,LH
136,NS,NS,NS,NS,NS,NS,NS,HH
137,HH,NS,NS,NS,NS,NS,NS,LH
138,NS,HH,NS,NS,NS,HH,LH,LH
139,NS,NS,LL,NS,NS,NS,HH,HH
140,LH,NS,NS,NS,NS,LL,NS,NS
141,NS,LL,NS,NS,NS,LL,LH,LL
142,NS,NS,NS,NS,NS,NS,LH,LL
143,NS,NS,HH,NS,NS,NS,HH,LH
144,LL,LH,NS,LH,NS,NS,NS,HH
145,NS,NS,LH,HH,NS,NS,HH,NS
146,NS,NS,HH,HH,NS,NS,NS,NS
147,NS,LH,NS,NS,LH,NS,LL,LL
148,NS,HH,NS,NS,NS,NS,NS,NS
149,NS,NS,LL,HH,NS,NS,HH,NS
150,NS,NS,NS,NS,NS,NS,HH,NS
151,LL,LL,HH,NS,HH,LH,NS,LL
152,LL,LH,HH,LL,NS,HH,NS,NS
153,NS,HH,NS,NS,NS,NS,LL,NS
154,NS,NS,NS,HH,LL,LH,HH,LL
155,NS,NS,LL,HH,NS,HH,HH,LL
156,LL,NS,NS,NS,NS,LH,NS,NS
157,NS,NS,HH,NS,NS,HH,NS,NS
158,NS,NS,HH,LL,LL,NS,LL,HH
159,NS,NS,HH,NS,NS,NS,NS,NS
160,LL,NS,NS,NS,HH,HH,NS,LL
161,NS,NS,LL,NS,HH,NS,NS,NS
162,NS,NS,NS,NS,NS,NS,LL,NS
163,NS,NS,NS,LL,NS,LL,LL,NS
164,NS,NS,LL,NS,NS,NS,NS,NS
165,NS,LL,LL,NS,NS,HH,HH,HH
166,NS,LL,NS,LL,NS,HH,NS,HH
167,NS,NS,HH,LL,LL,NS,HH,NS
168,LL,HH,HH,NS,LL,NS,NS,NS
169,NS,NS,NS,NS,NS,LL,LL,NS
170,NS,HH,HH,NS,NS,NS,NS,NS
171,LL,NS,NS,HH,NS,HH,NS,NS
172,LL,LL,LL,NS,NS,HH,NS,NS
173,NS,NS,NS,NS,HH,NS,NS,NS
174,NS,NS,NS,NS,NS,NS,HH,NS
175,LL,NS,NS,NS,NS,NS,HH,NS
176,NS,NS,NS,NS,NS,NS,NS,NS
177,HH,NS,HH,NS,NS,LL,NS,LL
178,HH,NS,NS,HH,NS,LL,NS,LL
179,NS,NS,NS,HH,NS,NS,HH,NS
180,HH,NS,NS,NS,HH,NS,NS,NS
181,NS,HH,NS,NS,HH,HH,NS,LL
182,NS,NS,NS,NS,NS,HH,NS,NS
183,NS,NS,NS,NS,NS,NS,NS,NS
184,NS,NS,NS,NS,NS,HH,NS,NS
185,NS,NS,NS,NS,NS,NS,NS,HH
186,NS,NS,NS,NS,NS,NS,LH,NS
187,NS,NS,NS,NS,NS,LL,LL,HH
188,HH,NS,NS,NS,NS,NS,LL,NS
189,NS,HH,NS,NS,NS,HL,NS,NS
190,NS,NS,LL,NS,NS,NS,HH,NS
191,NS,LL,LL,NS,NS,NS,LL,NS
192,NS,LL,NS,LL,NS,HH,NS,NS
193,NS,NS,NS,LL,NS,HH,NS,HH
194,LH,HH,LL,NS,NS,HH,NS,HH
195,HH,LL,NS,NS,NS,NS,HH,NS
196,NS,NS,NS,LL,LL,NS,NS,NS
197,LL,NS,HH,NS,LL,NS,NS,NS
198,NS,HH,NS,HH,NS,HH,NS,LH
199,NS,NS,NS,HH,NS,NS,NS,NS
200,NS,NS,NS,NS,LL,NS,NS,NS
201,NS,NS,NS,HH,NS,NS,NS,NS
202,NS,NS,NS,NS,NS,NS,NS,NS
203,NS,NS,NS,LH,HH,NS,NS,NS
204,NS,NS,NS,NS,NS,NS,NS,NS
205,NS,NS,HH,NS,NS,NS,NS,NS
206,NS,HH,HH,NS,NS,NS,NS,NS
207,LL,HH,NS,HH,NS,NS,NS,LL
208,NS,NS,NS,HH,NS,NS,NS,NS
