city,n_segments,P_HH_HH,P_LL_LL,P_NS_NS,contagion_chi2,contagion_p,contagion_significant,morans_i,morans_p
Semarang,794,0.6909871244635193,0.8492063492063492,0.902667033269178,681.240894172162,0.0,True,0.2943070071465767,0.001
Bandung,2101,0.7007125890736342,0.8046106269328085,0.8841143097289347,1747.8875328060885,0.0,True,0.3467409531705164,0.001
Jakarta,10806,0.7385517708098354,0.8178058587018955,0.8838272031196052,6750.492572896055,0.0,True,0.3390905245816116,0.001
