city,n_matched,match_rate,pearson_r,pearson_p,spearman_r,spearman_p
Semarang,1507,140.0557620817844,-0.011089196170264173,0.667094023229704,-0.029536975548558584,0.2518254215727065
Bandung,4336,141.28380579993484,0.011667992371886343,0.4424145849190403,0.03998650838343718,0.008455016153778853
Jakarta,20822,143.11636538593717,0.0015023207944193067,0.8283880229302828,-0.0004702477262785406,0.945903545770421
