segment_id,betweenness,closeness,match_dist
10212156_3230468711_3230468679_0,0.0027771518737672585,8.477479447029836e-05,0.0
10212156_84498975_3230468711_0,0.0030319526627218935,8.524539244166482e-05,0.0
1026628835_9465394813_9465394812_0,1.26232741617357e-06,8.850210042336755e-05,0.0
1026628845_9465414940_9465394813_0,0.0020432347140039446,8.864321357290232e-05,0.0
1026662440_84500194_5430892382_0,0.040244607495069036,9.068507047952626e-05,0.0
1028948537_257882108_1281134777_0,0.0025899487179487177,8.422348042017814e-05,0.0
1029488856_1859271735_79765078_0,0.0022761656804733727,8.073228972526469e-05,0.0
1035036958_9534356358_9534356357_0,0.0,8.757150191289036e-05,0.0
1042580718_6248840379_3362956374_0,1.5747534516765285e-05,8.478063296608166e-05,0.0
1044737640_260681136_270390848_0,0.014297846153846154,9.254119645602635e-05,0.0
1046149860_9620737543_9620737544_0,0.02001063510848126,8.733238594102425e-05,0.0
1047831717_7290888474_7290888471_0,0.06749080867850099,8.667482397996335e-05,0.0
1049817695_9647562108_9647562112_0,0.006037428007889547,5.847363057120999e-05,0.0
1049838136_5558222260_9647981799_0,8.609072978303748e-05,5.7957837441115484e-05,0.0
1057952919_79424408_79424401_0,0.021219660749506902,8.575335469801905e-05,0.0
1090138923_4071283360_1859311208_0,2.0071005917159762e-05,7.333037533814208e-05,2.257601934485599e-05
1098992313_1282152286_7048215702_0,0.006204717948717949,9.137977136159857e-05,0.0
110155983_9568879971_1780498170_0,0.014247321499013806,7.68102422474318e-05,0.0
110156004_7663184256_79765084_0,0.0011355581854043393,7.87178806239011e-05,0.0
110156004_79765078_4993723417_0,0.0019453412228796845,8.063942438777518e-05,0.0
110163881_5439033434_257677223_0,0.0060432662721893494,8.931072365166214e-05,0.0
110163899_270390844_256554279_0,0.00788616962524655,9.119451124134831e-05,0.0
110163913_257094406_1930115939_0,0.0029700986193293886,9.1580650604687e-05,0.0
110163913_270390846_257094446_0,0.0029553293885601576,9.217699587488575e-05,0.0
110163914_257880463_5460930072_0,0.017196244575936884,8.051256723535754e-05,0.0
110163914_257880464_5466182940_0,0.017233199211045366,8.068246512461689e-05,0.0
110163917_3485064598_2087459610_0,7.021696252465483e-05,7.75435021377812e-05,0.0
110164092_7284256421_5582052858_0,0.006414642998027614,8.74564776980268e-05,0.0
1118301401_5614853167_4019015940_0,0.0057484812623274165,6.721420623056874e-05,0.0
1118553971_3417610697_6836925547_0,0.019314587771203155,8.521906429982432e-05,0.0
1123504108_5663526933_5663526932_0,1.603155818540434e-05,4.974826800143006e-05,0.0
