segment_id,betweenness,closeness,match_dist
1000443882_9234657360_9234657359_0,2.056639861793801e-05,5.980407880476349e-05,0.0
1000447715_10176004708_9234682338_0,0.0,7.554264844629264e-05,0.0
1000683786_9236849638_9236849637_0,1.0283199308969005e-05,6.815083586312905e-05,0.0
1001355538_5346041131_5346041151_0,0.0009514632992616663,6.363851323079145e-05,0.0
1001386104_1663283380_6622030454_0,0.004385249778911215,6.840269088705457e-05,0.0
1010135305_3269364728_3269364726_0,0.004861012278139975,6.823179896177004e-05,0.0
1012043455_29358935_9336983410_0,9.172613783600354e-06,6.11868964445045e-05,0.0
1012750984_9342639490_9343482809_0,2.8998622051292597e-06,6.729865193552366e-05,0.0
1012997519_9345797187_9345797186_0,1.0283199308969005e-05,6.581592026309567e-05,0.0
1016891366_35138414_9379377312_0,8.000329062377886e-06,6.99399963185429e-05,0.0
1016891367_9379377310_9379377312_0,0.00013843242909734077,7.000234763780812e-05,0.0
1017763572_9387606573_9387606571_0,0.002190383152006252,6.996567471294492e-05,0.0
1017763573_1387999332_11806563116_0,0.0025422947987577896,7.024736289085718e-05,0.0
1017816427_6438268649_4443200306_0,0.003842667050572774,5.3962494486626595e-05,0.0
102775942_1667737191_6430375818_0,0.021168521070275382,7.276747557457275e-05,0.0
1030019670_6441995513_6393642180_0,0.0003527548690948728,4.633463697890412e-05,0.0
1030019671_6393642180_6393642181_0,0.0006920387470949962,4.629489581016412e-05,0.0
1031593094_1667979931_1667980054_0,0.0,5.750853229992708e-05,0.0
1032883123_6474394178_8413507981_0,0.0011688912654505069,5.7747275319139985e-05,0.0
1033828709_479716127_262868127_0,1.1722847212224667e-05,4.773061634994692e-05,0.0
1034398538_5509929591_5509717698_0,0.05388735783476955,5.5588489311321615e-05,0.0
1034793838_5342468765_29380518_0,0.00043773522818419265,6.741611529045564e-05,0.0
1034793839_25446374_9532363495_0,0.0006167451617547251,6.825158263478148e-05,0.0
1035987690_1879501446_1858814892_0,0.034000020566398614,5.4200329488463344e-05,0.0
1035987690_4443200319_5513539255_0,0.0346955967340559,5.4665451814558334e-05,0.0
1042494596_1664487893_2998201960_0,0.00019700553236122822,6.843117326094933e-05,0.0
1042818641_8247305364_535143966_0,0.0065108076424737265,4.215514898072914e-05,0.0
1044669169_5456153714_5355818899_0,0.00220965386751126,5.8321219405721184e-05,0.0
1046804241_9626130051_4961460501_0,0.0,5.034357520510467e-05,0.0
1052122006_5278754832_3277298302_0,0.0024560804557513935,5.445886230095529e-05,0.0
105231312_5355915763_1831360476_0,0.0045125146535590155,7.404490382200084e-05,0.0
1057129058_29489284_9713565227_0,0.02505966312239064,7.117213340316482e-05,0.0
1057129060_9713565227_29489284_0,0.02154774489439154,7.117213340316482e-05,0.0
1057799122_9719962009_3642308978_0,0.0003101824239557411,6.0772792919919116e-05,0.0
1058854033_5205570048_5408954334_0,0.0034795878493716964,6.959869497309156e-05,0.0
1059257072_9732461072_5479784339_0,0.008232276905990992,5.556233586803338e-05,0.0
1059257077_6446191582_12947507574_0,0.00741850564547642,5.551582351066423e-05,0.0
1059257079_3935053500_5358098266_0,0.023362277111654978,5.558530285063269e-05,0.0
1059257080_3935053501_5358098265_0,0.02129132303642309,5.559969666477439e-05,0.0
1061865623_9755546377_5334558654_0,3.537420562285338e-06,6.771780214945607e-05,0.0
1063125525_9766028617_9766028618_0,4.072146926351727e-06,5.755012976340231e-05,0.0
1063484368_5426146215_9768742275_0,1.0283199308969005e-05,5.2357653602574394e-05,0.0
1063833997_9771408615_9771437321_0,1.0283199308969005e-05,5.302308189619005e-05,0.0
1063897551_12994385428_2607591682_0,0.029928799127984698,6.328720020349631e-05,2.7861487768133223e-05
1063897551_12994385428_4091612443_0,0.029761594307220862,6.335595244422115e-05,2.2488531098075988e-05
1066321922_5504884196_5287090739_0,0.01552123480657302,4.29001373603879e-05,2.086406364174309e-07
1068091719_5406439223_5406440751_0,0.0006879254673714085,4.843088644851772e-05,0.0
1068404784_9807903914_6726782905_0,0.0,4.205063961919748e-05,0.0
1069498936_9816480388_9816480387_0,1.0283199308969005e-05,4.8358487744131244e-05,0.0
1071187425_5506936491_1740402743_0,0.0019802973901240153,4.1065248605724684e-05,0.0
1071187425_690686778_5506936491_0,0.001970199288402608,4.050886637890956e-05,0.0
1071187431_2604179177_2604179170_0,0.0023983300084322234,6.820111487595434e-05,0.0
1071541848_9832971267_9832971266_0,3.6196861567570903e-06,7.271336315528868e-05,0.00013608306286722833
1071807530_1849525878_9834915547_0,0.0012254282952512184,7.192240457667271e-05,0.0
1071807531_9834915547_9834915546_0,0.001829134360282171,7.188363901977158e-05,0.0
1072146130_1849907162_2519917308_0,0.0019699113588219565,6.85842512226638e-05,0.0
