segment_id,betweenness,closeness,match_dist
1000701829_4892485139_5504750368_0,0.00025687534723975957,4.1238258493712804e-05,0.0
1000938195_5495410136_9069150565_0,3.150411636951361e-06,4.6913270365607536e-05,0.0
1001009461_7806205713_4301005953_0,0.0023514382039496943,2.808194579124003e-05,0.0
1001043311_13638425127_1981199007_0,0.001651863730491439,3.0470915403599315e-05,0.0
1001290383_3402046108_4347587600_0,0.003219291378352442,3.630398882618571e-05,0.0
1001292275_7249065688_6947652464_0,0.0009856810950047983,3.457463149363528e-05,0.0
1001318611_6334688062_4869579929_0,0.004161611697560482,4.845405891513669e-05,0.0
1001338161_9242648525_5673864848_0,0.01181045759886863,4.570800399201736e-05,0.0
1001380004_5681294756_5477404330_0,0.005867423859790898,3.25221147406754e-05,0.0
1001381428_4785395977_4785415432_0,7.225112379413102e-05,4.485996488179401e-05,0.0
1001381428_4785415432_6336788088_0,6.562831456134148e-05,4.481995734732784e-05,0.0
1001381429_6598780328_6598783797_0,1.2191272286479114e-05,4.4966457607522136e-05,2.0500975591624677e-05
1001552715_7036766794_7036766795_0,1.0770745997272589e-05,3.951298842415907e-05,0.0
1001552716_3999530772_275861205_0,6.995302793070357e-06,3.9884811320860876e-05,0.0
1001561687_4803513012_13234028502_0,0.0006894161321278852,4.265918579078022e-05,0.0
100384314_1160311920_1160311884_0,3.5229051972321835e-06,4.2992256607231006e-05,0.0
100387498_3186121669_1160914524_0,5.682105156826102e-08,4.288500712591928e-05,3.055596888226148e-06
100455918_1156353571_4548266739_0,6.577352391534925e-05,4.377248595220491e-05,0.0
1004702626_4699991460_4699991467_0,0.0018564132026870042,3.388875020312255e-05,0.0
1005095342_1672978222_5023353868_0,3.5014394666397295e-05,3.645470030196869e-05,0.00044561247055417756
1005118793_5068567282_309883266_0,0.0,3.702670689022109e-05,9.967186101833668e-09
1005454485_1553827235_2380732160_0,0.0,3.81870176511023e-05,0.0
1005518733_9277258287_10198940281_0,6.548941865750795e-05,4.484875268893966e-05,0.0
100572760_1162768600_4925523895_0,0.000603641598060508,4.332383066460649e-05,0.0
100572764_1162768563_454067190_0,0.0,4.2538957013545944e-05,0.0
1005780610_6322195263_7710264202_0,0.004172837011970301,3.874529403915085e-05,0.0
100639065_1163404618_1163404614_0,0.0076661889489368145,4.366421230808647e-05,7.639594270493065e-09
1006897485_9289491374_9289491379_0,0.0,3.386096975341456e-05,0.0
1008056472_5201540479_9299946389_0,0.000523145108338805,4.691615546475209e-05,0.0
1008772873_6337573853_1709783955_0,2.6642759735340167e-05,4.577158933400794e-05,0.0
1008820942_4884795903_1482319729_0,0.016325584625486136,4.8107061412047545e-05,0.0
1009759864_9316746534_6486366180_0,0.003309182281933431,4.807543358848312e-05,9.298220455153416e-05
1009777934_4555512183_4555512168_0,0.0023918758523157734,3.867931259068236e-05,0.0
100992854_4566501813_4566501888_0,5.250265164907318e-05,4.262470036455803e-05,2.6166291921334338e-05
100992854_4566501888_4566501889_0,0.0010555331077327138,4.266716522834388e-05,0.0
100992855_329564101_4566501837_0,5.303298146371029e-06,4.186271527563608e-05,0.0
100992859_4566501841_4566501844_0,3.674428001414213e-06,4.2225163228601184e-05,0.0
100992862_7151946547_1173954343_0,1.9192888529723724e-06,4.205406425337863e-05,0.0
100992865_7053460314_4566501892_0,6.269256023031466e-06,4.236068916807611e-05,0.0
1010149088_1709590496_3594842537_0,0.0005796126066973079,4.431684437734764e-05,0.0
1010464227_7270948395_6442005289_0,0.00040858124147684225,3.292911831224021e-05,0.0
1012413093_5648723958_9340231854_0,0.008632898126167987,3.974577190215624e-05,0.0
101325969_1169792068_5504246266_0,2.6011414717915046e-06,4.134401415200565e-05,0.0
101325969_5219145141_1169792149_0,0.0026743964341633415,4.0892183275862546e-05,0.0
101325969_5504246266_1169792068_0,0.002901270266175059,4.134401415200565e-05,0.0
101325969_9485210319_6806892346_0,8.510530834890651e-05,4.072384211598596e-05,0.0
1013412316_2264599593_9771220906_0,0.00048741098035254304,3.1073767975293065e-05,0.0
1013953080_4912113038_5436558136_0,3.150411636951361e-06,4.23566717117732e-05,0.0
1016060907_6776116733_9372021383_0,0.0,4.033278468716881e-05,0.0
101677465_12747919971_6330678741_0,2.0240921258649427e-05,4.1587249005996066e-05,0.0
101692851_2821400646_5372142477_0,0.00041079094903783016,4.31696329186254e-05,0.0
101695344_5070929388_5070934564_0,0.0014289358048386281,4.0297495823119416e-05,0.0
101695357_5653003488_5070943925_0,1.3927471084398201e-05,4.124448257002755e-05,0.0
101695363_4899821778_1174137397_0,3.409894439113087e-05,4.155450788596159e-05,0.0
101695363_4899821778_329564101_0,3.50649022677913e-05,4.1680236682188755e-05,1.7651375646134916e-09
1017031528_12213661896_12213661895_0,0.004086153341077832,3.756709558666261e-05,1.3978382398412481e-05
1017104426_320846639_352475499_0,4.134678519117127e-05,4.68996754896315e-05,0.0
1017104426_352475499_320846639_0,4.134678519117127e-05,4.68996754896315e-05,0.0
1018515167_10586877437_10586877456_0,1.325193191575332e-05,2.6074869193057547e-05,0.0
1018734663_7701859999_9396273659_0,0.0001080420728319612,4.370435133296149e-05,0.0
1018934117_8509148838_343338440_0,0.006795576796807919,3.8753191302785583e-05,0.0
101925423_1176698645_1958567363_0,0.002135638163543613,4.149201939320841e-05,0.0
101944560_1177004928_1177004987_0,3.877721097025102e-05,4.08758012640785e-05,0.0
101948051_1177028928_1177028965_0,0.00022077503914339107,4.117086256925026e-05,0.0
1020723859_7072397164_913643867_0,3.150411636951361e-06,4.0809843543557144e-05,0.0
1022240752_1720229267_4552359624_0,0.0013127620081822315,3.899277536559028e-05,0.0
1022240752_4552359624_1720229267_0,0.00028992625890196473,3.899277536559028e-05,0.0
1022535497_9430612123_11501075376_0,0.0,4.886271931536719e-05,0.0
1024188301_9072965275_4502121006_0,2.777918076670539e-06,4.044853565904741e-05,0.0
1024402199_1166535016_7256959012_0,0.0002619008535784635,4.1988205250899066e-05,5.764932452852025e-07
1026297697_9462267059_11276114251_0,3.150411636951361e-06,4.480889610023675e-05,0.0
1026361208_9462816859_9462816860_0,0.0,4.772191985002658e-05,0.0
1026388033_9463047534_3723635027_0,1.799333299661599e-06,4.4225325382861555e-05,0.0
1026388034_9463047546_9463047542_0,2.8221122278902973e-06,4.475261573414075e-05,0.0
1026939442_9467922592_9467922593_0,1.0417192787514521e-05,3.5605639983421396e-05,0.0002262506334898352
1027009008_1695655706_5490339319_0,7.437244305267943e-06,4.9065354333221623e-05,0.0
1028897618_9494319668_1711169659_0,2.8164301227334712e-05,4.07938248046886e-05,0.0
1029274853_2381115328_7716090368_0,0.00011572554169402494,4.589857506890721e-05,0.0
1029334263_10779859460_9490004347_0,0.0,3.74794245485128e-05,0.0
1029334263_11407539168_10779859460_0,3.150411636951361e-06,3.6963793297478995e-05,0.0
1029334264_9490004336_9490004341_0,0.004140550027779181,3.63001047920022e-05,0.0
1029334267_9490004372_9490004335_0,0.005200029041870801,3.6237089313817e-05,0.0
1029926220_7716090368_9489476953_0,3.4092630940956612e-06,4.589235099270197e-05,0.0
1030397564_5013242728_9498255577_0,3.150411636951361e-06,4.1160524447072906e-05,0.0
1031055455_5078301166_5142365075_0,3.150411636951361e-06,4.2009076559056834e-05,0.0
1031140668_4800327637_9504567900_0,0.0031105674529016618,4.8382047438471634e-05,0.0
1031538466_9506892512_9506892485_0,0.00383022501136421,4.8704381825869316e-05,0.0
1031547566_9504567900_9506954881_0,3.6996818021112177e-06,4.8340696055314747e-05,0.0
1031956750_319883061_9510144320_0,0.0,4.8280320688965324e-05,3.771816402394694e-07
103233794_312254014_620382437_0,0.007912325117430173,3.375083317366955e-05,0.0
1032440402_7968512342_2027755723_0,7.323602202131421e-07,2.9828894786243858e-05,0.0
1032789900_1702013542_1702013653_0,0.0014739822718319107,4.255017381807852e-05,0.0
1032789900_6771003953_1702013653_0,0.0008755618970655083,4.2367246408507845e-05,0.0
1034147827_5380199259_9527050428_0,0.0,4.320204771319765e-05,0.0
1034161352_4791189139_4791189124_0,0.0,4.6123020704056286e-05,6.402129883933507e-07
1034719386_333628568_4923241393_0,8.263674933077428e-05,4.257469427863423e-05,0.0
1034998354_11286553246_12252978313_0,1.7614525986160917e-06,3.816076876751031e-05,0.0
1036482898_9549068392_3723635076_0,0.0009187711500580837,4.6607466627694624e-05,0.0
1037096959_9553940164_5447080085_0,3.150411636951361e-06,4.0591875141269746e-05,0.0
1037902266_1709597888_7112345682_0,3.150411636951361e-06,3.982863468308511e-05,0.0
1037922337_4332097378_5507223540_0,3.150411636951361e-06,4.3622722302825085e-05,0.0
1038588084_5026366445_5026366452_0,1.1667255922016262e-05,4.680634906815374e-05,0.0
1038588084_5026366452_5026366445_0,4.0406081115207837e-07,4.680634906815374e-05,0.0
1039039283_7611870255_5497894843_0,0.0,4.071572328325239e-05,0.0
1039596162_5623403437_11128338578_0,0.013348944391130865,3.304571121589368e-05,0.0
1039614479_7834934053_9594262856_0,3.926966008384262e-06,3.8507872403073985e-05,0.0
1039614491_9573075590_9573075587_0,7.6140209101469764e-06,3.885682228899862e-05,0.0
1039614496_9573075660_9573075640_0,0.00023598414061316226,3.9314605833253264e-05,0.0
1039614506_12867326255_1648895560_0,0.0003932332441032375,3.8849922622402936e-05,0.0
1039614514_9573075587_9573075674_0,0.006611299813121875,3.863763007264334e-05,0.0
1040997523_9584244285_7034715167_0,3.150411636951361e-06,4.76596202249824e-05,8.663270536566565e-07
1041001442_9584315311_9884187219_0,0.0,4.3550701621059626e-05,0.0
1042174762_9948631336_5498021635_0,9.223319359563614e-05,4.0808651425768186e-05,0.0
1042225046_9594262856_9573075590_0,5.682105156826102e-07,3.865860071819129e-05,0.0
1042532704_4787537837_2019616143_0,2.1895045204303245e-05,4.7900293383778465e-05,0.00033012999016423416
1042535337_9596587352_9596587351_0,0.0,4.5751600702410614e-05,0.0
1043415703_7111117186_6336788287_0,4.141623314308804e-06,4.551010773599265e-05,0.0
1043440172_4552287966_6894448759_0,5.926435678569624e-05,4.6150312373830385e-05,0.0
1043642603_9491519981_9604852501_0,2.083438557502904e-06,4.4961032682598685e-05,0.0
1043650933_5513028020_10039419160_0,0.0019263094095661396,3.507658592111401e-05,0.0
1043671574_11479356512_9605090239_0,0.0,4.7460186831572324e-05,0.0
1044721055_9612849463_9612849464_0,2.9041870801555634e-07,4.121989445492947e-05,0.0
1046075669_3409791332_3409791329_0,0.013952712258194857,4.0519045426484266e-05,0.0
1046122106_1663996965_1361319020_0,2.6573311783423404e-05,4.100846495628373e-05,0.0
1046126059_5455837899_5455837896_0,1.4363099146421536e-05,3.0612075879494905e-05,0.0
1046497867_9623747109_310348015_0,3.150411636951361e-06,4.8316047689422706e-05,0.0
1046903831_9836569693_8850576656_0,2.563260770745997e-06,2.971347537532537e-05,0.0
1047117086_9628821623_9628821617_0,0.0012668000909136824,4.817528300688926e-05,0.0005943948353983093
1047793048_6325828359_9634989778_0,0.0,4.267035170376744e-05,0.0
1049493695_9644670452_4446893374_0,5.156194757310975e-05,4.227797306340481e-05,0.0
1049528045_1237910675_7673500244_0,0.0,4.731289732858647e-05,0.0
1049528045_7673500244_1237910675_0,0.0,4.731289732858647e-05,0.0
1049561624_5080955290_7082512518_0,3.150411636951361e-06,4.1725343726402495e-05,0.0
1049790777_5632166553_4834072600_0,1.5859386837719076e-05,3.734577770653359e-05,0.0
1049836578_4841538887_4841538884_0,5.666952876407899e-05,4.467734899003432e-05,0.0
1049838211_6287525511_9647720422_0,7.209960098994898e-06,3.996027087953731e-05,0.0
1050974728_3352636389_3352636370_0,0.0,4.002846941497597e-05,0.0
1051208313_9660084377_9660084381_0,0.0,3.593228496027736e-05,0.0
1051240525_9660446214_8549639841_0,3.150411636951361e-06,4.817991894111809e-05,0.0
1051720420_9664836740_9664836741_0,8.384261831405627e-06,4.1251784351070586e-05,0.0
1051765416_5126701981_9665275084_0,0.000313203949694429,3.807660021814983e-05,0.0
10522129_5668294440_2035778474_0,0.002031308399414112,4.152386073022383e-05,0.0
10522281_90655629_90657679_0,0.003550185615435123,4.172587065261394e-05,0.0
