city,n_segments,icc,temporal_r2,spatial_delta_r2,null_var_segment,null_var_resid,temporal_var_resid,full_var_segment
Semarang,1047,0.9412694582947169,0.6279338377846411,0.6637837861314193,10.799527481817691,0.6738369056585859,0.2507119114474629,3.526282921155243
Bandung,2918,0.9244180816618864,0.5903303710457997,0.5599698476995416,6.917678235275305,0.5656005673622909,0.2317093745675949,2.920122282413063
Jakarta,14912,0.9292777211525977,0.5041957819243257,0.5435964552612652,7.706689573755168,0.5865142751399082,0.29079625157596306,3.439559626681123
