city,period,morans_I,z_score,p_value,n
Semarang,night,0.17593890921862496,10.854857782607333,1.8910093253546403e-27,822
Semarang,morning_peak,0.28945759410344424,18.567337617176097,5.905970401757533e-77,892
Semarang,morning_offpeak,0.2797741342567614,18.184381851148242,6.862481916594445e-74,911
Semarang,lunch_hours,0.24058349705662774,15.455861290187936,6.888463444449299e-54,892
Semarang,afternoon_offpeak,0.26621607129024316,17.184918528732183,3.4443053778433224e-66,903
Semarang,evening_peak,0.2984246922452115,19.499081903692655,1.1177061554220888e-84,924
Semarang,evening_offpeak,0.2850137396242802,18.243215012326562,2.342650251391801e-74,886
Semarang,late_night,0.255042909937883,15.672028681262455,2.349585516558219e-55,819
Bandung,night,0.19611473602040452,19.514888519336342,8.204789618457951e-85,2161
Bandung,morning_peak,0.22389872597902688,23.532464924813784,1.8982997535249957e-122,2407
Bandung,morning_offpeak,0.2762205249534466,29.35937865321788,1.8138741058704845e-189,2469
Bandung,lunch_hours,0.28227643634542504,29.960679015980062,3.194183985583622e-197,2456
Bandung,afternoon_offpeak,0.2824922755359959,30.132629150648356,1.8116996593077453e-199,2480
Bandung,evening_peak,0.291006134031933,31.682256693369034,2.7277686639995564e-220,2583
Bandung,evening_offpeak,0.26496176074120575,27.748742153929758,1.804455285908395e-169,2398
Bandung,late_night,0.22201019666486066,22.366643907604537,8.316274231475794e-111,2220
Jakarta,night,0.22187677274980305,50.084612786691096,0.0,11312
Jakarta,morning_peak,0.2567119422352466,60.46286387790336,0.0,12297
Jakarta,morning_offpeak,0.28044339167847115,66.89917059337463,0.0,12627
Jakarta,lunch_hours,0.2937177060098632,69.50553591844752,0.0,12425
Jakarta,afternoon_offpeak,0.3057713659170534,72.57313904540055,0.0,12497
Jakarta,evening_peak,0.31006110216652055,75.5913789388265,0.0,13201
Jakarta,evening_offpeak,0.28411628382307846,68.13200503106427,0.0,12750
Jakarta,late_night,0.26025687614656273,59.80741108641435,0.0,11722
