city,n,ols_r2,ols_beta_const,ols_beta_betweenness,ols_beta_poi,ols_p_betweenness,ols_p_poi,slag_r2,slag_rho,slag_beta_betweenness,slag_beta_poi,slag_p_betweenness,slag_p_poi,serr_r2,serr_lambda,serr_beta_betweenness,serr_beta_poi,serr_p_betweenness,serr_p_poi
Semarang,1076,3.6747333792552794e-05,1.6531462406646429,-0.016800174320558116,-7.242028221141172e-06,0.8937795565585259,0.8867715482809296,0.00013222471853387946,2.5682357770024087,0.033162036724386765,5.47339471352206e-05,0.8663106379725396,0.7057400854598159,3.669320282033763e-05,-0.03368493305795308,-0.01766338027146718,-8.246773845575283e-06,0.8864625177321718,0.8674694725141012
Bandung,3069,0.002595043093904792,1.9199645782231745,0.2698282543739208,-1.0304491350626244e-05,0.004852972878941553,0.8031360191964777,0.0012828212192878207,0.3504787800776414,0.23120338620232517,-2.431010805623037e-07,0.06361551560312263,0.9958185923622466,0.002594985193938424,0.02334486237238581,0.26913939879067805,-9.727405013061788e-06,0.005305410821880097,0.8174956634319057
Jakarta,14549,2.5270021340229043e-05,2.006395298851395,-0.048292435731963214,9.52717236440922e-06,0.6354480454556909,0.7038938430535412,6.259889183457002e-05,2.73142401501876,-0.3371904145092572,-4.564528350718939e-06,0.16811751347330284,0.8994565463733761,2.5242592792243867e-05,0.01178947503512302,-0.05136953772352473,9.470192130423407e-06,0.6152168861290161,0.7079654123960408
