city,n_segments,total_pois,total_pearson_r,total_pearson_p,total_spearman_r,total_spearman_p
Semarang,1076,18937,-0.007195163609765529,0.8136285047047999,-0.012377902252537055,0.6850593226879168
Bandung,3069,56844,-0.012821521947119486,0.4776832831269949,0.005335967344216587,0.7676222126831574
Jakarta,14549,221034,-0.00047793263903620533,0.9540330614445832,0.0083645427342496,0.3130438382941001
