city,low_cap_jf,high_cap_jf,cap_diff_pct,cap_t_stat,cap_p_value,cap_effect_size,cap_pearson_r,cap_pearson_p,cap_spearman_r,cap_spearman_p,high_sens_cap,low_sens_cap,sens_t_stat,sens_p_value,drop_dist_pearson_r,drop_dist_pearson_p,drop_dist_spearman_r,drop_dist_spearman_p,near_drop_jf,far_drop_jf,drop_prox_t_stat,drop_prox_p_value,drop_prox_effect_size,n_capacity_drops,local_bn_jf,local_non_bn_jf,local_bn_t_stat,local_bn_p_value,local_bn_effect_size,local_drop_pearson_r,local_drop_pearson_p,local_drop_spearman_r,local_drop_spearman_p
Semarang,2.681229074074074,2.8420188571428575,-5.657590295879629,-0.9286673235059038,0.3533138779681444,-0.06483598866585658,0.028429455078837564,0.39693301501300143,0.13499619647997035,5.341219721098508e-05,7.0,6.748743718592965,0.7581690665361304,0.4485750312307403,-0.030654085429067307,0.3610171181305879,-0.08015706293879375,0.016765801576395307,2.964667676767677,2.7268898989898984,1.1314258286585237,0.2583340177828357,0.09284592812140315,92,2.7731691964285714,2.7348054054054054,0.1967669394817484,0.8440549479987274,0.01507946822229172,0.004479314674882164,0.8938425131058864,-0.05253657327663037,0.11730282860579962
Bandung,2.862107372654155,3.8547690710382514,-25.751521818575007,-8.416869468428434,6.543867390093641e-17,-0.3564162051984315,0.15323176682207312,4.0772872348809364e-14,0.22654906363973856,2.172349795820451e-29,6.899900398406374,6.139940239043825,4.511574276750426,6.8071198499584516e-06,-0.2028086620122544,9.235946847905302e-24,-0.3093678238723293,1.5139515799352923e-54,3.802973566084788,2.304818804483188,11.340725007198051,9.925320837596493e-29,0.5661592155156601,250,3.597073684210527,3.118597609783213,3.5887038277471,0.00033896757304360977,0.16433825310276695,-0.02302901526568081,0.2587317921231104,-0.06954538356035718,0.0006393647837746803
Jakarta,2.895855652588123,4.073546276067527,-28.91069706016227,-23.27220777474536,2.790841726310897e-117,-0.419047604765224,0.16811365367413955,6.60512512365698e-79,0.24314990463414726,1.5748603140544422e-165,6.437559219253363,5.699791587722622,10.280878479948008,1.123391077740828e-24,-0.12473209183287291,5.595138278288387e-44,-0.188080991602197,1.2307766926320137e-98,4.063482178458545,2.975866480311133,17.497589931566175,2.4544387708793752e-67,0.3858231015182166,1442,3.549504307296689,3.4465226568425615,1.73031754813901,0.08359856119575082,0.03583889095206785,-0.06174621559190267,6.650601261820929e-12,-0.09126356904526005,3.045211462088255e-24
