City,Moran_I,Z_score,p_value
Semarang,0.2984246922452115,19.499081903692655,1.1177061554220888e-84
Bandung,0.291006134031933,31.682256693369034,2.7277686639995564e-220
Jakarta,0.31006110216652055,75.5913789388265,0.0
