city,weight_type,morans_I,z_score,p_value,n
Semarang,KNN_k4,0.3469455378618677,16.213745522581007,4.032269641819946e-59,924
Semarang,KNN_k8,0.2984246922452115,19.499081903692655,1.1177061554220888e-84,924
Semarang,KNN_k12,0.26952262604723703,21.45222088901995,4.353621904358231e-102,924
Semarang,Distance_500m,0.32346372500729287,12.02699451844276,2.5632263793117297e-33,924
Semarang,Distance_1000m,0.2880644826690763,13.625834751768735,2.8117672034147603e-42,924
Bandung,KNN_k4,0.3553195890501145,27.59725282441341,1.2004692105782876e-167,2583
Bandung,KNN_k8,0.291006134031933,31.682256693369034,2.7277686639995564e-220,2583
Bandung,KNN_k12,0.24798646198606786,32.88886617850142,3.1710408690624265e-237,2583
Bandung,Distance_500m,0.3782828947628487,25.61624974265997,1.0056071745341444e-144,2583
Bandung,Distance_1000m,0.30940286849110954,28.273661069699696,7.28671010203542e-176,2583
Jakarta,KNN_k4,0.36762552617795896,64.14815174681644,0.0,13201
Jakarta,KNN_k8,0.31006110216652055,75.5913789388265,0.0,13201
Jakarta,KNN_k12,0.2695368602518134,80.0685407789073,0.0,13201
Jakarta,Distance_500m,0.36169463383082484,62.49530077606679,0.0,13201
Jakarta,Distance_1000m,0.2764689959434179,65.62222401779309,0.0,13201
