city,n_segments,hot_spots_p05,hot_spots_p01,hot_spots_p05_only,cold_spots_p05,cold_spots_p01,cold_spots_p05_only,not_significant,pct_significant
Semarang,1076,39,2,37,53,9,44,984,8.6
Bandung,3069,118,15,103,178,42,136,2773,9.6
Jakarta,14549,660,95,565,807,139,668,13082,10.1
