city,metric,F_stat,eta_squared,n
Semarang,jam_factor,220351.0499115077,0.08806599992029628,15972339
Semarang,speed,123769.36517027364,0.05146864694160814,15966891
Semarang,free_flow,0.5607820678910569,2.4576710252779696e-07,15972339
Semarang,speed_reduction,243043.48802946578,0.09629196114626494,15966891
