week_key,hour,mean,median,count
2026W05,0,7.113973520699098,6.666667,66829
2026W05,1,7.308553554228292,6.666667,69709
2026W05,2,7.411738257084463,6.666667,69723
2026W05,3,7.409512490366302,6.666667,69724
2026W05,4,7.44772140746016,6.666667,69717
2026W05,5,7.251271410532203,6.666667,69729
2026W05,6,6.856047607500394,6.111111,69783
2026W05,7,6.404802406715778,5.8333335,69910
2026W05,8,6.052966969557019,5.555556,70003
2026W05,9,5.959500216406775,5.277778,72915
2026W05,10,5.800980334859444,5.277778,81711
2026W05,11,5.783379138634834,5.277778,81719
2026W05,12,5.837165104001028,5.277778,81704
2026W05,13,5.7964703564982685,5.277778,81691
2026W05,14,5.678852221391034,5.0,81824
2026W05,15,5.664265259573455,5.0,81867
2026W05,16,5.647267996963179,5.0,81829
2026W05,17,5.529704589061546,5.0,81922
2026W05,18,5.5332274127457435,5.0,81996
2026W05,19,5.616097485087869,5.0,81826
2026W05,20,5.827706678483037,5.277778,78789
2026W05,21,6.075708799583846,5.555556,69926
2026W05,22,6.389815315462885,5.8333335,69877
2026W05,23,6.810551618528232,6.111111,69780
2026W06,0,7.2030349626493875,6.666667,81332
2026W06,1,7.409811434681605,6.666667,81314
2026W06,2,7.54606535469561,6.9444447,81310
2026W06,3,7.547549774815207,6.9444447,81307
2026W06,4,7.556900563818849,6.9444447,81302
2026W06,5,7.350039982253185,6.666667,81316
2026W06,6,6.856855191266644,6.111111,81412
2026W06,7,6.431957896133003,5.8333335,81562
2026W06,8,6.083797821687381,5.555556,81665
2026W06,9,6.019403429488075,5.277778,81633
2026W06,10,5.853011546639159,5.277778,81676
2026W06,11,5.76559187934123,5.277778,81728
2026W06,12,5.787617402107402,5.277778,81712
2026W06,13,5.762574065835412,5.277778,72982
2026W06,14,5.668281234703733,5.0,73093
2026W06,15,5.644948983831593,5.0,70211
2026W06,16,5.599597396364931,5.0,70205
2026W06,17,5.503176659013736,5.0,70326
2026W06,18,5.526994810024855,5.0,82076
2026W06,19,5.606974077905756,5.0,81872
2026W06,20,5.848112011148661,5.277778,81669
2026W06,21,6.079561217484553,5.555556,78658
2026W06,22,6.385135745851282,5.8333335,81483
2026W06,23,6.816263939697208,6.111111,81376
2026W07,0,7.231549818277835,6.666667,46488
2026W07,1,7.403442135840737,6.666667,46489
2026W07,2,7.4870276621593135,6.9444447,46487
2026W07,3,7.529561734137894,6.9444447,46485
2026W07,4,7.522734616532232,6.9444447,46491
2026W07,5,7.269728493823257,6.666667,46497
2026W07,6,6.607695317428375,5.8333335,46562
2026W07,7,6.105907467668658,5.555556,46707
2026W07,8,5.840994144678895,5.277778,46776
2026W07,9,5.846254800470729,5.277778,46736
2026W07,10,5.749764883284847,5.277778,46748
2026W07,11,5.74747623014912,5.277778,46741
2026W07,12,5.703995507034961,5.0,46738
2026W07,13,5.730033919253596,5.277778,43810
2026W07,14,5.588006634538855,5.0,46840
2026W07,15,5.509047113197807,5.0,46879
2026W07,16,5.483887200053307,5.0,46898
2026W07,17,5.37143358423788,4.7222223,46948
2026W07,18,5.35958857070778,4.7222223,46992
2026W07,19,5.497264889805235,5.0,46877
2026W07,20,5.7980185290955335,5.277778,40886
2026W07,21,6.103213389036041,5.555556,34960
2026W07,22,6.459789407414939,5.8333335,34916
2026W07,23,6.851761816823368,6.388889,34886
2026W08,0,7.229225238919322,6.666667,69734
2026W08,1,7.365894697581583,6.666667,69715
2026W08,2,7.4877384087553445,6.9444447,69706
2026W08,3,7.4931931755807115,6.9444447,69699
2026W08,4,7.518473575686922,6.9444447,69695
2026W08,5,7.297241525919711,6.666667,69723
2026W08,6,7.00038888867416,6.388889,69752
2026W08,7,6.728729615155545,6.111111,66926
2026W08,8,6.341796858788312,5.8333335,72824
2026W08,9,6.341055242753561,5.555556,81509
2026W08,10,6.164556718424507,5.555556,81511
2026W08,11,6.039550804054128,5.555556,72790
2026W08,12,6.089767642147376,5.555556,69862
2026W08,13,6.030565861417874,5.277778,72785
2026W08,14,5.909922207267314,5.277778,81612
2026W08,15,5.850861884845703,5.277778,81693
2026W08,16,5.733010904813528,5.0,81728
2026W08,17,5.563639703116531,5.0,81918
2026W08,18,5.869476937781419,5.277778,81773
2026W08,19,5.9424270810480655,5.277778,81617
2026W08,20,6.106338126199529,5.555556,81532
2026W08,21,6.18593203183409,5.555556,78573
2026W08,22,6.505977544698706,5.8333335,78528
2026W08,23,6.893466668396928,6.388889,81375
2026W09,0,7.18694961013276,6.666667,81350
2026W09,1,7.365657393918454,6.666667,81328
2026W09,2,7.474473811411567,6.9444447,81321
2026W09,3,7.533432358845884,6.9444447,81309
2026W09,4,7.5647257762782525,6.9444447,81322
2026W09,5,7.301933389843386,6.666667,81346
2026W09,6,6.849456629837233,6.111111,81405
2026W09,7,6.494538767856617,5.8333335,81572
2026W09,8,6.182953670354362,5.555556,81668
2026W09,9,6.18041444865534,5.555556,81582
2026W09,10,6.0376350629199305,5.277778,81591
2026W09,11,6.011965240977923,5.277778,81622
2026W09,12,6.042771422152783,5.555556,81606
2026W09,13,5.998162183544909,5.277778,81610
2026W09,14,5.908202133972498,5.277778,81669
2026W09,15,5.828111792513728,5.277778,81763
2026W09,16,5.758823749215133,5.0,81861
2026W09,17,5.630675773589784,5.0,81991
2026W09,18,5.917380726465084,5.277778,81753
2026W09,19,6.065729993788721,5.555556,81513
2026W09,20,6.139973234694829,5.555556,81528
2026W09,21,6.218168830174561,5.555556,81519
2026W09,22,6.450427728277436,5.8333335,81489
2026W09,23,6.833729985413545,6.111111,81418
2026W10,0,7.245261670765435,6.666667,34856
2026W10,1,7.4235188873680285,6.9444447,34856
2026W10,2,7.557911773800642,6.9444447,34852
2026W10,3,7.5890749943039975,6.9444447,34849
2026W10,4,7.553308054186513,6.9444447,34850
2026W10,5,7.2604236579392865,6.666667,34852
2026W10,6,6.7001683084930805,6.111111,34899
2026W10,7,6.179023827005944,5.555556,34996
2026W10,8,5.954712676500971,5.277778,35044
2026W10,9,6.0253104194801494,5.555556,35010
2026W10,10,5.92123336163851,5.277778,34983
2026W10,11,5.974099233499985,5.277778,35003
2026W10,12,5.947940085052313,5.277778,34982
2026W10,13,5.973508792418959,5.277778,34982
2026W10,14,5.87735434027988,5.277778,35015
2026W10,15,5.780512491165231,5.277778,35066
2026W10,16,5.722554698484762,5.0,35110
2026W10,17,5.583332459606845,5.0,26351
2026W10,18,5.868834214384734,5.277778,23372
2026W10,19,6.033441328240244,5.555556,23293
2026W10,20,6.099308220580282,5.555556,23299
2026W10,21,6.182230903991759,5.555556,23298
2026W10,22,6.425723874833383,5.8333335,23257
2026W10,23,6.86352724500581,6.388889,23237
2026W11,0,7.107088244385183,6.388889,58123
2026W11,1,7.404208512520443,6.666667,58089
2026W11,2,7.536775763990012,6.9444447,58070
2026W11,3,7.622234693883876,6.9444447,58076
2026W11,4,7.611894835920308,6.9444447,58073
2026W11,5,7.4543121756521735,6.666667,58075
2026W11,6,7.013650163802299,6.388889,58128
2026W11,7,6.693079389826431,6.111111,58190
2026W11,8,6.314512944994849,5.555556,58240
2026W11,9,6.143721473581473,5.555556,58247
2026W11,10,5.926148419299629,5.277778,58312
2026W11,11,5.91372696775045,5.277778,58345
2026W11,12,5.906749928754093,5.277778,58343
2026W11,13,5.884946880709424,5.277778,58329
2026W11,14,5.697681569395962,5.0,58440
2026W11,15,5.725844338523371,5.0,58471
2026W11,16,5.523654207134574,5.0,58644
2026W11,17,5.477123305522037,5.0,58674
2026W11,18,5.668316074321047,5.0,58546
2026W11,19,5.844299312700127,5.277778,58338
2026W11,20,5.813739889552981,5.277778,58409
2026W11,21,5.949281463150148,5.277778,58429
2026W11,22,6.171114504254772,5.555556,58358
2026W11,23,6.661130023025637,6.111111,58196
2026W12,0,7.371288507701905,6.666667,23241
2026W12,1,7.599932333393579,6.9444447,23238
2026W12,2,7.675650834007488,6.9444447,23239
2026W12,3,7.738826249606299,6.9444447,23241
2026W12,4,7.667374545077029,6.9444447,23238
2026W12,5,7.693437027432333,6.9444447,23239
2026W12,6,7.539964466927677,6.666667,23243
2026W12,7,7.4150679136852515,6.666667,23244
2026W12,8,7.054977416243655,6.388889,23246
2026W12,9,6.900344788438212,6.111111,23249
2026W12,10,6.590038930233357,5.8333335,23269
2026W12,11,6.439693509789098,5.8333335,23281
2026W12,12,6.430845047897788,5.8333335,23285
2026W12,13,6.52551579271563,5.8333335,23269
2026W12,14,6.424973032217744,5.8333335,32001
2026W12,15,6.472248692080002,5.8333335,34899
2026W12,16,6.294689923383726,5.555556,34926
2026W12,17,6.302250976560488,5.555556,34941
2026W12,18,6.228786797727273,5.555556,34936
2026W12,19,6.266880641360552,5.555556,34927
2026W12,20,6.238473815673649,5.555556,34944
2026W12,21,6.383201482820733,5.8333335,34920
2026W12,22,6.680781449949847,6.111111,34893
2026W12,23,7.107245842490034,6.388889,34867
2026W13,0,7.499187450068847,6.666667,11620
2026W13,1,7.6869540909912235,6.9444447,11622
2026W13,2,7.6882609441356164,6.9444447,11621
2026W13,3,7.754446583812392,6.9444447,11620
2026W13,4,7.684476230361446,6.9444447,11620
2026W13,5,7.600569169974182,6.9444447,11620
2026W13,6,7.435831471435947,6.666667,11623
2026W13,7,7.232184882446031,6.666667,11627
2026W13,8,6.889987787644023,6.111111,11630
2026W13,9,6.801493989549286,6.111111,11626
2026W13,10,6.640962632696938,5.8333335,5814
